,Zip,City,Latitude,Longitude,Student Count
672,2056,Norfolk,42.111836,-71.32855,1723.0
677,1756,Mendon,42.092006,-71.54474,1242.0
678,1827,Dunstable,42.671356,-71.50292,274.0
679,1256,Savoy,42.592506,-73.01123,48.0
680,1507,Charlton,42.135142,-71.96961,2697.0
682,2556,North Falmouth,41.6403,-70.63036,329.0
685,1844,Methuen,42.73004,-71.17935,7043.0
686,1905,Lynn,42.464879,-70.97411,5806.0
687,1810,Andover,42.646942,-71.1513,7502.0
692,1519,Grafton,42.201674,-71.68771,2602.0
696,2360,Plymouth,41.894676,-70.61999,8273.0
698,2122,Boston,42.296298,-71.05454,3193.0
702,1581,Westborough,42.269845,-71.61408,
703,1360,Northfield,42.682285,-72.45649,631.0
704,1341,Conway,42.508313,-72.70403,159.0
705,1719,Boxborough,42.486259,-71.51244,433.0
707,2721,Fall River,41.685452,-71.15425,3523.0
708,1237,Lanesboro,42.557346,-73.24364,251.0
711,1610,Worcester,42.248493,-71.80793,2436.0
712,2043,Hingham,42.225708,-70.88764,4374.0
715,1230,Great Barrington,42.189715,-73.35249,1307.0
716,2748,South Dartmouth,41.59156,-70.9494,1658.0
717,1151,Indian Orchard,42.153926,-72.50531,1471.0
718,1879,Tyngsboro,42.671589,-71.41694,4651.0
719,2215,Boston,42.346997,-71.10215,1465.0
720,2138,Cambridge,42.379146,-71.12803,3479.0
721,1103,Springfield,42.103294,-72.59112,
723,2367,Plympton,41.968987,-70.80452,221.0
724,1010,Brimfield,42.126038,-72.20552,300.0
726,1543,Rutland,42.380877,-71.96427,1086.0
727,1907,Swampscott,42.474409,-70.90588,2298.0
728,1604,Worcester,42.255393,-71.77459,4331.0
730,1257,Sheffield,42.102694,-73.36591,
732,1922,Byfield,42.76087,-70.92648,1136.0
733,1742,Concord,42.457201,-71.37478,3407.0
734,1583,West Boylston,42.359842,-71.787,924.0
735,2632,Centerville,41.658718,-70.34658,317.0
740,1904,Lynn,42.490421,-70.96579,1541.0
743,2019,Bellingham,42.075122,-71.47953,2317.0
744,2703,Attleboro,41.928099,-71.31456,6015.0
745,1375,Sunderland,42.449978,-72.56302,239.0
748,1057,Monson,42.089269,-72.317,1049.0
749,1830,Haverhill,42.78519,-71.07011,3748.0
750,1107,Springfield,42.120193,-72.6061,2277.0
751,2482,Wellesley,42.300096,-71.30336,985.0
752,1906,Saugus,42.462796,-71.0098,2858.0
755,2030,Dover,42.23888,-71.28241,1674.0
760,1854,Lowell,42.649758,-71.33348,3440.0
761,2540,Falmouth,41.56105,-70.61968,2530.0
765,2474,Arlington,42.419496,-71.15635,1934.0
